geography,indicator,hypothesis,phase,article value,P5,P50,P95,P5 vs article (%),P95 vs article (%)
Denmark,Taxes and subsidies on production (M EUR),B1,Phase 1,19.448686923587996,17.39091014498267,17.87781934676595,19.50926001444324,-10.580543492165473,0.3114507991887949
Denmark,Taxes and subsidies on production (M EUR),B1,Phase 2,32.168372903629184,28.239020119855663,29.109530475216886,32.24231071701625,-12.214956583427995,0.229846295330427
Denmark,Taxes and subsidies on production (M EUR),B1,Phase 3,100.82468804649974,88.06310959680293,90.89962937400875,101.08127124553371,-12.657196066712595,0.2544844958167758
Denmark,Taxes and subsidies on production (M EUR),B1,All phases,152.4417478737169,133.6946640690262,137.8870638962036,152.8274104042868,-12.297867261546248,0.2529901001196766
Denmark,Taxes and subsidies on production (M EUR),B2,Phase 1,37.47642504344284,34.684675136055354,36.51122078379346,37.75595627998229,-7.449349568832342,0.7458855432860068
Denmark,Taxes and subsidies on production (M EUR),B2,Phase 2,50.03530207520109,45.92021032908826,47.66394909219426,50.45474352468232,-8.224376740901862,0.8382910307023428
Denmark,Taxes and subsidies on production (M EUR),B2,Phase 3,136.28097209108242,122.56955222904236,127.64250124256364,137.0421886962464,-10.061140342377461,0.5585641146258036
Denmark,Taxes and subsidies on production (M EUR),B2,All phases,223.79269920972635,203.23193654820344,211.81758553035007,225.16823546287833,-9.187414394718251,0.6146475099542359
Denmark,Taxes and subsidies on production (M EUR),B3,Phase 1,36.76986431244283,34.20304091889039,35.81621033294541,37.12100596255831,-6.98078016209549,0.9549712969614044
Denmark,Taxes and subsidies on production (M EUR),B3,Phase 2,59.431986610653375,55.16026977591727,57.67845334817849,60.15257699954417,-7.187572010205001,1.212462227809219
Denmark,Taxes and subsidies on production (M EUR),B3,Phase 3,155.2880511660833,142.51514428425568,147.66187815276243,156.98332412585867,-8.225299233208084,1.0916956887830676
Denmark,Taxes and subsidies on production (M EUR),B3,All phases,251.4899020891795,231.93548635664652,241.13940873518783,254.10007877249262,-7.775427788587274,1.0378852835162933
World,Employment (job-years),A1,Phase 1,16007.578342860586,13275.895597188295,14660.234907757214,16045.087387693562,-17.064934415208576,0.2343205451167174
World,Employment (job-years),A1,Phase 2,24245.442117722054,21506.89220638114,23071.51593979005,24402.378433389553,-11.295112285616716,0.6472817237380246
World,Employment (job-years),A1,Phase 3,74319.72264159174,65744.69486323762,70129.72279646879,74406.8019370328,-11.538024461834118,0.11716848818315029
World,Employment (job-years),A1,All phases,114572.74310217438,101031.79181675121,108151.33223060089,114561.22942044839,-11.818649810406946,-0.01004923284041448
World,Employment (job-years),A2,Phase 1,16013.127638233542,13285.533420547881,14667.62048779832,16053.517099552964,-17.03348826854508,0.2522271865427861
World,Employment (job-years),A2,Phase 2,19642.280891188388,18022.73754707169,18915.232897273316,19799.217206855887,-8.245189818272236,0.7989719551251273
World,Employment (job-years),A2,Phase 3,74319.72264159174,65744.69486323762,70129.72279646879,74406.8019370328,-11.538024461834118,0.11716848818315029
World,Employment (job-years),A2,All phases,109975.13117101367,97555.85529587581,103906.6958282253,109963.68510989097,-11.292803875655865,-0.010407863123984562
World,Employment (job-years),A3,Phase 1,16013.127638233542,13285.533420547881,14667.62048779832,16053.517099552964,-17.03348826854508,0.2522271865427861
World,Employment (job-years),A3,Phase 2,21176.66796669961,19187.473033051934,20288.074387521916,21333.60428236711,-9.393332968036761,0.7410812499600183
World,Employment (job-years),A3,Phase 3,74319.72264159174,65744.69486323762,70129.72279646879,74406.8019370328,-11.538024461834118,0.11716848818315029
World,Employment (job-years),A3,All phases,111509.5182465249,98716.90660070314,105305.16277154119,111498.07218540218,-11.472214970510308,-0.010264649424285288
World,Employment (job-years),B1,Phase 1,15267.201986497808,14075.927560024476,14804.88910533438,15437.811899660057,-7.80283399359546,1.117492997820646
World,Employment (job-years),B1,Phase 2,24494.67591094541,22361.60030590888,23513.61485134072,24785.502491229345,-8.708323444619936,1.1873052794872052
World,Employment (job-years),B1,Phase 3,74893.37248058993,68176.65539928646,71566.27633381289,75865.55475664418,-8.968373113447692,1.2980885275345466
World,Employment (job-years),B1,All phases,114655.25037803315,104640.47180527559,109895.14758925713,116024.36414377087,-8.734688154042258,1.1941134498625994
World,Employment (job-years),B2,Phase 1,16273.238851929269,14175.758647956734,15236.463684878858,16300.944018296446,-12.889137946401297,0.17024986002642795
World,Employment (job-years),B2,Phase 2,24368.97761797501,22002.458880825878,23134.6159665216,24431.819901037674,-9.711194184049587,0.25787820912235304
World,Employment (job-years),B2,Phase 3,76382.0118740192,68432.90447291108,72224.17943432738,76384.17817775294,-10.40704114238179,0.0028361438519253213
World,Employment (job-years),B2,All phases,117024.22834392347,104777.47599406615,111024.78682810873,117038.21649311231,-10.465142580445175,0.01195320779874276
World,Employment (job-years),B3,Phase 1,15915.314627485966,14249.223273679605,15191.007249417495,16063.828238747896,-10.468478901001422,0.9331490752023441
World,Employment (job-years),B3,Phase 2,23672.475160201735,21116.831670891665,22552.8692392202,23879.620891295952,-10.795844000320798,0.8750488898705111
World,Employment (job-years),B3,Phase 3,71016.05871291399,64160.42600865017,67320.44316987734,71659.0999720181,-9.653637259676806,0.9054871120117269
World,Employment (job-years),B3,All phases,110603.84850060169,99581.26057552935,105259.86335421167,111597.81741782615,-9.965826754222185,0.8986748026394986
Denmark,Employment (job-years),A1,Phase 1,2682.939735376468,2600.86099469194,2984.5792987032164,3480.0145568317457,-3.059283799865553,29.709009522102914
Denmark,Employment (job-years),A1,Phase 2,6021.12001600799,5945.994886132156,6210.1988871113535,6498.6259400865365,-1.2476936130836558,7.930516628285611
Denmark,Employment (job-years),A1,Phase 3,15208.626286963923,14860.42817739362,15495.490069558435,16363.326902746958,-2.289477714820054,7.592405743921704
Denmark,Employment (job-years),A1,All phases,23912.68603834838,23622.819008342598,24734.60970805867,25961.910453050055,-1.2121893355724556,8.569612010191442
Denmark,Employment (job-years),A2,Phase 1,2684.6793122859417,2603.6078049724993,2986.867265183716,3482.033819294549,-3.01978366438157,29.700176976805427
Denmark,Employment (job-years),A2,Phase 2,4288.511370925179,4300.068440812108,4494.93379318629,4714.785340831025,0.2694890811129058,9.939905319963827
Denmark,Employment (job-years),A2,Phase 3,15208.626286963923,14860.42817739362,15495.490069558435,16363.326902746958,-2.289477714820054,7.592405743921704
Denmark,Employment (job-years),A2,All phases,22181.816970175045,21983.100142839994,23024.291524474822,24151.85605265018,-0.8958545983957844,8.88132421759671
Denmark,Employment (job-years),A3,Phase 1,2684.6793122859417,2603.6078049724993,2986.867265183716,3482.033819294549,-3.01978366438157,29.700176976805427
Denmark,Employment (job-years),A3,Phase 2,4866.047585952782,4851.660823403048,5065.52207090027,5300.552086616091,-0.29565601847515444,8.929310554167792
Denmark,Employment (job-years),A3,Phase 3,15208.626286963923,14860.42817739362,15495.490069558435,16363.326902746958,-2.289477714820054,7.592405743921704
Denmark,Employment (job-years),A3,All phases,22759.353185202646,22530.26717420455,23595.700034760568,24750.478457381887,-1.0065576518538344,8.748602194344436
Denmark,Employment (job-years),B1,Phase 1,1954.6445379609377,1878.0544524711552,1971.3477444341672,2084.1402144914227,-3.918363876517439,6.62502434665555
Denmark,Employment (job-years),B1,Phase 2,3141.8042845405917,2991.378732538109,3154.3544277935634,3356.6581577170764,-4.787871502456698,6.838550518047359
Denmark,Employment (job-years),B1,Phase 3,9837.668614814556,9349.192195138878,9880.3774630824,10529.950591177614,-4.965367698400424,7.037053223367873
Denmark,Employment (job-years),B1,All phases,14934.117437316087,14220.310946629093,15000.175900831,15969.397513531805,-4.779703211007269,6.932315086988994
Denmark,Employment (job-years),B2,Phase 1,3781.022626688367,3795.771541720046,3978.8861335701185,4177.378212826707,0.3900774073017699,10.482761550821241
Denmark,Employment (job-years),B2,Phase 2,4851.520878066102,4728.070398132895,4913.853420154699,5165.849755295192,-2.544572785233823,6.478976080473697
Denmark,Employment (job-years),B2,Phase 3,13232.713799902163,12885.529936042525,13508.216097268172,14279.65181571534,-2.623678476762681,7.9117407936452055
Denmark,Employment (job-years),B2,All phases,21865.257304656632,21435.174752862364,22403.90717384862,23572.22641557727,-1.9669677141310071,7.80676434371117
Denmark,Employment (job-years),B3,Phase 1,3715.941284438149,3680.9736230688495,3864.442774591389,4063.0749846311837,-0.9410175966918288,9.341743413621284
Denmark,Employment (job-years),B3,Phase 2,5862.209156835442,5766.21413004169,6004.056320566703,6275.930176201193,-1.637523060428847,7.057425081521451
Denmark,Employment (job-years),B3,Phase 3,15057.410976280578,14666.150284468033,15228.289280042169,15943.490424074093,-2.5984592731704392,5.884673329228551
Denmark,Employment (job-years),B3,All phases,24635.56141755417,24140.087898282225,25064.745405597205,26241.04381690961,-2.0112126160798383,6.5169304329774524
